Site_Names,Unnamed: 1,Unnamed: 2,Latitude,Longitude
Victoria Falls,,,-17.6601144555672,25.8255846849849
Hwange National Park,,,-18.7697865504667,26.6376781933709
Matusadonha National Park,,,-16.96180556,28.00913889
Matobo National Park,,,-20.4381683220983,28.5167317146659
Great Zimbabwe Ruins,,,-20.0295386834657,30.9556050250316
Museum of African Liberation,,,-17.8300636256671,30.9875791102762
Mutoko Ruins,,,-17.3647766973187,32.2857992287947
Matobo National Park,,,-20.01499814148,28.4725144245973
